Pharmacy Name,Pharmacy_url,Street Address,City,State,State_ab,Zip Code,Phone,Conditions Served,Pharmacy Contact,Contact Email,Accreditation,Company Type,Ownership,Patient Services,Payer Services,Pharmaceutical Services,Pharmacy Locations,Limited Distribution Drugs,
AB Specialty Pharmacy,http://specialtypharmacynewportrichey.com/,2311 Seven Springs Blvd,New Port Richey,Florida,FL,34655,727-375-9520,"HIV, Renal Disease, Hepatitis",,,URAC,Private,Independent,"Refill and transfer prescriptions, Chronic disease management technicians",,"Patient Assistance programs, Manufacturer programs, Co-pay cards",,,
AcariaHealth,http://www.acariahealth.com,"6923 Lee Vista Blvd, Suite 300",Orlando,Florida,FL,32822,407-903-1308,"Oncology, Crohn's Disease, Hepatitis, HIV, Growth Hormone, Multiple Sclerosis, Rheumatoid Arthritis",Don Howard,don.howard@acariahealth.com,URAC,Subsidiary,Envolve Pharmacy Solutions,Clinical programs and support; nursing services; pharmacist available 24/7; claims processing and reimbursement support; copay assistance program; drug therapy training; delivery,"Integrated pharmacy and medical specialty drug management, clinical programs support, trend management initiatives, coordination of nursing services, patient education and training, clinical and account management team, copay assistance, billing options, real-time data analysis","Patient copay and reimbursement support; protocol-driven clinical support, REMS and registry programs, disease education and management, limited distribution programs, real-time data analysis, national physician sales network, HUB services, clinical trial participation","Orlando, FL; Columbus, GA; Fairfax, VA; Falls Church, VA; Houston, TX; Lenexa, KS; Commerce, CA; Hawthorne, NY; Raleigh, NC; Sacramento, CA; Slidell, LA; Troy, MI; Wilmington, MA","Actemra, Adcetris, Afinitor, Aldurazyme, Alprolix, Aristada, Arzerra, Avastin, Beleodaq, Benlysta, Bethkis, Blincyto, Bosulif, Ceredase, Cerezyme, Corifact, Cosentyx, Dacogen, Daraprim, Dificid, Dysport, Egrifta, Elaprase, Eloctate, Empliciti, Entyvio, Fabrazyme, Firazyr, Gazyva, Gilenya, Hemlimbra, Herceptin, Hizentra, Hurmira, Hycamtin Oral, Ibrance, Inlyta, Jadenu, Kadcyla, Krystexxa, Lucentis, Macugen, Makena, Mekinist, Mozobil, Myozyme, Naglazyme, Nexavar, NovoEight, NovoSeven, Nplate, Nucala, Nutropin AQ, Opdivo, Otezla, Perjeta, Plegridy, Praluent, Promacta, ProThelial, Repatha, Rituxan, Rixubis, Serostim, Simponi UC, Soliris, Somatuline, Stivarga, Supprelin LA, Sutent, Sylatron, Synagis, Tafinlar, Tarceva, Tasigna, Tecfidera, Thyrogen, Tikosyn, Tobi, Tykerb, Tysabri, Valstar, Vantas, Vecamyl, Velcade, Visudyne, Votrient, Vpriv, Xalkori, Xeomin, Xolair, Xtandi, Yervoy, Zolinza, Zytiga",
Accredo Specialty Pharmacy,http://www.accredo.com,1640 Century Center Pkwy Ste 110,Memphis,Tennessee,TN,38134,877-222-7336,"Bleeding Disorders, Cystic Fibrosis, Fabry Disease, Gaucher Disease, Growth Hormone, Hemophilia, Hepatitis C, HIV, Hyperlipidemia, Immunology, Fertility, Lupus, Multiple Sclerosis, Neutropenia, Oncology, Osteoarthritis, Osteoporosis, Parkinson's Disease, RSV, Rheumatoid Arthritis, Transplantation",Vic Perini,vic.perini@acariahealth.com,"URAC, JCAHO",Subsidiary,Express Scripts,"Specialty care programs, patient assistance programs, Refill reminders",,"Adherence, pre-launch services",,"Adempas, Arcalyst, Carbaglu, Duopa, Gilotrif, Myalept, Orenitram ER, Procysbi, Remodulin, Signifor, Aralast NP® ,GlassiaTM, Zemaira®, Nucala®, Oralair®, Xolair®, Mozobil®, Promacta®, Abraxane®, AdcetrisTM, Alecensa®, Arzerra®, Avastin®, Bosulif®, CabometyxTM, Cotellic ®, Dacogen®, Erbitux®, ErivedgeTM, Folotyn®, GazyvaTM, Hemlimbra, Herceptin®, Hycamtin®, Hycamtin®, Ibrance®, Inlyta®, Intron A ®, Iressa®, Ixempra®, JakafiTM, KadcylaTM, Kepivance®, LenvimaTM, Lonsurf®, LynparzaTM, MekinistTM, Nexavar®, Ninlaro®, PerjetaTM, Pomalyst®, Revlimid®, Rituxan®, Stivarga®, Sutent®, SylatronTM, Sylvant TM, Tafinlar®, TagrissoTM, Tarceva®, TecentriqTM, Thalomid®, Tykerb®, ValchlorTM, Valstar®, Vantas®, Vidaza®, Votrient®, Xtandi®, YervoyT, Xalkori®, Zaltrap®, Zelboraf, Zolinza, Zytiga, Nexplanon, Bethkis®, Cayston®, KalydecoTM, Kitabis PakTM, OrkambiT, Tobi® (tobramycin), Tobi Podhaler, Egrifta, Kuvan, Natpara®, Samsca®, Somatuline Depot®, Somatuline Depot®, Somavert®, Supprelin LA, Aldurazyme, Cerezyme®, Elaprase, Fabrazyme, LumizymeTM, Naglazyme, Ravicti, VimizimTM, VPRIVT, Increlex, Advate®, AdynovateTM, Afstyla®, Alphanate®, Alphanine SD®, AlprolixTM, Bebulin®, Benefix®, EloctateTM, Feiba NF®, Helixate FS®, Hemofil M®, Humate-P ®, Idelvion®, Ixinity®, Koate-DVI®, Kogenate FS®, Kovaltry®, Monoclate-P ®, Mononine®, Novoeight®, Novoseven RT®, Nuwiq®, Profilnine SD®, RecombinateTM, RiaSTAP®, RixubisTM, Tretten, Wilate®, Xyntha®, Berinert®, Cinryze®, Firazyr®, Kalbitor®, Ruconest®, KynamroTM, PraluentT, EsbrietTM OFEV®, Cytogam®, Flebogamma®, Gamastan S-D ®, Gammagard Liquid®, Gammagard S-D ®,, Gamunex-C ®, HizentraTM, HyQvia TM, Privigen, Actemra®, Arcalyst®, Cimzia®, Cosentyx, Humira®(Pediatric), Ilaris®, Otezla, Taltz, Exjade, Acthar H.P. Gel® ,Actimmune®, Apokyn, CeprotinT, DuopaTM, Dysport®, Gattex®, Hetlioz, Krystexxa® Makena, Northera TM, NuplazidTM, OcalivaT, ProthelialT, Sabril®, Solesta®, Soliris®, Thyrogen, Xenazine®, Xiaflex, AmpyraTM, Aubagio, Lemtrada, TecfideraTM, Tysabri, Eylea®, Iluvien, Lucentis®, Macugen, Visudyne, Adempas®, Letairis®, Opsumit®, OrenitramTM, Remodulin®, Tracleer® Tyvaso®, Uptravi®, Veletri®, Ventavis®, Synagis",
Accurate Rx Pharmacy ,http://accuraterx.net ,"103 Corporate Lake Dr., Suite B ",Columbia,Missouri,MO,65203,573-256-4279,"Asthma, Crohn's Disease, Cystic Fibrosis, Growth Hormone, Hemophilia, Hepatitis C, HIV, Multiple Sclerosis, Rheumatoid Arthritis, Von Willebrand Disease",Kirsten Moloney,kmaloney@accuraterx.net,ACHC,Private,Independent,"Customized care coordination, Pharmacy Dispensing and DME, Home Infusion Nursing, 24/7 Pharmacist, Insurance Experts","24/7 Pharmacist, Nurse Case Manager, Insurance Verification and PA Retrieval, Quarterly Reporting",,,Hemlimbra,
AccuServe Pharmacy,https://www.accuservpharmacy.com/,8731 Route 30North ,Huntingdon,Pennsylvania,PA,15642,866-213-9821,"Oncology, Crohn's Disease, Renal Disease, HIV, Hepatitis, Transplantation, Psoriasis",Marvin Scheffler,marvin@accuservpharmacy.com,"URAC, ACHC",Private,Independent,"2-Hour Patient Admittance Guarantee, Delivery, Refill reminders",Prior Authorization,CoPay Assistance,"North Huntingdon, PA; Pittsburgh, PA",,
Acro Pharmaceutical Services,http://www.acropharmacy.com,313 Henderson Drive,Sharon Hill,Pennsylvania,PA,19079,800-906-7798,"Asthma, Cystic Fibrosis, Growth Hormone, Hemophilia, Hepatitis C, HIV, Multiple Sclerosis, Oncology, Osteoporosis, Psoriasis, Rheumatoid Arthritis",Greg Isaak,gisaak@acropharmacy.com,URAC,Subsidiary,Premier Inc.,"Customized shipping & delivery,  Clinical expert 24/7, Education and counseling, Specialty Therapy Management Programs","Utilization management, Coordinated care with hospital and infusion services","Pre-launch strategy, Advanced data reporting, Sales force support, Marketing outreach, Compliance and adherence programs","Philadelphia, PA; Memphis, TN","Esbriet, OFEV, REVLIMID, Hemlimbra",
Acton Pharmacy,https://actonpharmacy.com/,563 Massachusetts Ave,Acton,Massachusetts,MA,01720,978-263-3901,"Compounding, vaccines",Saad Dinno,saaddinno@dinnohealth.com,HQAA,Private,Independent,Counseling and education,,,"Concord, MA; Newton, MA",,
Advanced Care Scripts,http://www.acs-rx.com,"6251 Chancellor Drive, Suite 101",Orlando,Florida,FL,32809,866-944-9511,"Rheumatoid Arthritis, Psoriasis, Osteoarthritis, Osteoporosis, Crohn's Disease, Hemophilia, Growth Hormone, Bleeding disorders, Hepatitis C, Multiple Sclerosis, Oncology",Dennis Wilson,dennis.wilson@cvshealth.com,URAC,Subsidiary,Omnicare,"Nursing support, Prescription refills, Benefits investigation and coordination, Billing and reimbursement support, patient assistance programs, Medicare Part D support",,"Brand support, reimbursement support,  financial support, adherence support, access solutions, REMS support",,"Farydak, Otelza, Ninlaro, Xenazine, Ibrance, Inlyta, Xalkori, Bosulif, Sutent, Tarceva, Xenaziner, REVLIMID, Otezia",
Advanced Pharmacy and Respiratory Care Solutions,http://aps-rx.net,"26611 Cabot Road, Suite B",Laguna Hills,California,CA,92653,949-348-7900,"Crohn's Disease, Cystic Fibrosis, Growth Hormone, Hemophilia, Multiple Sclerosis, Osteoporosis, Immunology, Psoriasis, Rheumatoid Arthritis, RSV",James Roache,jroache@aps-rx.net,,Private,Independent,,,,,Synagis,
Advanced Therapies Pharmacy,http://iuhealth.org/patients/pharmacies/,"362 West 15th Street, Suite 1600 GH 1074",Indianapolis,Indiana,IN,46202,317-963-7100,"Crohn's Disease, Ulcerative Colitis, Growth Hormone, Hepatitis, HIV, Multiple Sclerosis, Oncology, Osteoarthritis, Psoriasis, RSV, Rheumatoid Arthritis, Transplantation, Asthma, PAH",Christopher Lowe,clowe@iuhealth.org,URAC,Subsidiary,Indiana University Health,"Counseling and education, Financial assistance help",,,,,
